"Name","activation_function","alpha","architecture.hidden_layers","architecture.neurons_per_layer","batch_size","epochs","optimizer","final_val_accuracy","final_val_loss","train_accuracy","val_accuracy","train_loss","val_loss","train_recall","val_recall","train_precision","val_precision","train_f1_score","val_f1_score","State","Notes","User","Tags","Created","Runtime","Sweep","method","metric.goal","metric.name","parameters.activation_functions","parameters.alphas","parameters.architectures","parameters.batch_sizes","parameters.epochs","parameters.optimizers","epoch"
"absurd-sweep-64","linear","0.1","2","[64,32]","32","50","bgd","0.4649122807017544","1.3281126420293383","0.4256017505470459","0.4649122807017544","1.345034990268395","1.3281126420293383","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T02:08:47.000Z","50","l7wb2o2e","","","","","","","","","","49"
"true-sweep-63","linear","0.1","2","[64,32]","32","50","sgd","0.6228070175438597","0.9487911474052342","0.5831509846827133","0.6228070175438597","0.9798951560997736","0.9487911474052342","0.5831509846827133","0.6228070175438597","0.4822987006784407","0.5219284729543427","0.5278817522632686","0.566781537176274","finished","-","","","2024-10-13T02:06:40.000Z","124","l7wb2o2e","","","","","","","","","","49"
"prime-sweep-62","linear","0.1","2","[64,32]","16","50","bgd","0.4649122807017544","1.328330978501631","0.4256017505470459","0.4649122807017544","1.3452821870564011","1.328330978501631","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T02:05:48.000Z","48","l7wb2o2e","","","","","","","","","","49"
"comfy-sweep-61","linear","0.1","2","[64,32]","16","50","sgd","0.6228070175438597","0.9541530842985856","0.5897155361050328","0.6228070175438597","0.9773462980164492","0.9541530842985856","0.5897155361050328","0.6228070175438597","0.4907440853387268","0.5245009074410164","0.53502800200651","0.5678347908407593","finished","-","","","2024-10-13T02:03:57.000Z","109","l7wb2o2e","","","","","","","","","","49"
"swift-sweep-60","linear","0.1","1","[32]","32","50","bgd","0.4649122807017544","1.317878290578977","0.4256017505470459","0.4649122807017544","1.3358862999150531","1.317878290578977","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T02:03:09.000Z","42","l7wb2o2e","","","","","","","","","","49"
"crisp-sweep-59","linear","0.1","1","[32]","32","50","sgd","0.5087719298245614","0.9822851384210164","0.5722100656455142","0.5087719298245614","0.989257466592135","0.9822851384210164","0.5722100656455142","0.5087719298245614","0.5944698579555113","0.6050543024227235","0.5581957014606098","0.4870699910842641","finished","-","","","2024-10-13T02:01:56.000Z","67","l7wb2o2e","","","","","","","","","","49"
"misty-sweep-58","linear","0.1","1","[32]","16","50","bgd","0.4649122807017544","1.3170514610539323","0.4256017505470459","0.4649122807017544","1.3351925018380038","1.3170514610539323","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T02:01:19.000Z","35","l7wb2o2e","","","","","","","","","","49"
"playful-sweep-57","linear","0.1","1","[32]","16","50","sgd","0.6403508771929824","0.913339789012104","0.62472647702407","0.6403508771929824","0.9472086102942652","0.913339789012104","0.62472647702407","0.6403508771929824","0.593725280998138","0.634082257530619","0.6057428370401204","0.6247853676745053","finished","-","","","2024-10-13T02:00:05.000Z","69","l7wb2o2e","","","","","","","","","","49"
"peachy-sweep-56","linear","0.01","2","[64,32]","32","50","bgd","0.4649122807017544","1.702244409285662","0.4256017505470459","0.4649122807017544","1.705730362800214","1.702244409285662","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:59:07.000Z","54","l7wb2o2e","","","","","","","","","","49"
"revived-sweep-55","linear","0.01","2","[64,32]","32","50","sgd","0.4649122807017544","1.1362091186817982","0.4256017505470459","0.4649122807017544","1.1898590610087358","1.1362091186817982","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:57:16.000Z","105","l7wb2o2e","","","","","","","","","","49"
"true-sweep-54","linear","0.01","2","[64,32]","16","50","bgd","0.4649122807017544","1.7022501321415928","0.4256017505470459","0.4649122807017544","1.705738930225663","1.7022501321415928","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:56:29.000Z","43","l7wb2o2e","","","","","","","","","","49"
"usual-sweep-53","linear","0.01","2","[64,32]","16","50","sgd","0.4649122807017544","1.1426983579118262","0.4256017505470459","0.4649122807017544","1.1910031811713258","1.1426983579118262","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:54:49.000Z","97","l7wb2o2e","","","","","","","","","","49"
"fallen-sweep-52","linear","0.01","1","[32]","32","50","bgd","0.4649122807017544","1.7015925826278866","0.4256017505470459","0.4649122807017544","1.7051036967167488","1.7015925826278866","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:54:12.000Z","32","l7wb2o2e","","","","","","","","","","49"
"hopeful-sweep-51","linear","0.01","1","[32]","32","50","sgd","0.6491228070175439","0.9250372742653412","0.6170678336980306","0.6491228070175439","0.9431486014173316","0.9250372742653412","0.6170678336980306","0.6491228070175439","0.5862837268050404","0.6326880419439403","0.5969498092659302","0.6299835021301609","finished","-","","","2024-10-13T01:50:46.000Z","201","l7wb2o2e","","","","","","","","","","49"
"olive-sweep-50","linear","0.01","1","[32]","16","50","bgd","0.4649122807017544","1.701487622891971","0.4256017505470459","0.4649122807017544","1.704997114852543","1.701487622891971","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:50:04.000Z","37","l7wb2o2e","","","","","","","","","","49"
"bumbling-sweep-49","linear","0.01","1","[32]","16","50","sgd","0.6403508771929824","0.913980128125566","0.6159737417943107","0.6403508771929824","0.9292934624054592","0.913980128125566","0.6159737417943107","0.6403508771929824","0.581494379290657","0.616346335793258","0.5960840807169423","0.6239919652071355","finished","-","","","2024-10-13T01:47:36.000Z","145","l7wb2o2e","","","","","","","","","","49"
"fresh-sweep-48","sigmoid","0.1","2","[64,32]","32","50","bgd","0.4649122807017544","1.1489011592378664","0.4256017505470459","0.4649122807017544","1.194355773319351","1.1489011592378664","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:46:43.000Z","51","l7wb2o2e","","","","","","","","","","49"
"exalted-sweep-47","sigmoid","0.1","2","[64,32]","32","50","sgd","0.6228070175438597","0.941714957254332","0.6017505470459519","0.6228070175438597","0.967288335367536","0.941714957254332","0.6017505470459519","0.6228070175438597","0.5721849141074976","0.5979629112569222","0.5671683081314278","0.5890583768342683","finished","-","","","2024-10-13T01:43:39.000Z","180","l7wb2o2e","","","","","","","","","","49"
"rich-sweep-46","sigmoid","0.1","2","[64,32]","16","50","bgd","0.4649122807017544","1.148833972186941","0.4256017505470459","0.4649122807017544","1.1942637176985402","1.148833972186941","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:42:41.000Z","54","l7wb2o2e","","","","","","","","","","49"
"honest-sweep-45","sigmoid","0.1","2","[64,32]","16","50","sgd","0.5789473684210527","0.9642642021843312","0.5919037199124726","0.5789473684210527","0.9713588224365792","0.9642642021843312","0.5919037199124726","0.5789473684210527","0.5835549851338903","0.6387670565302144","0.562915427628399","0.5649058945247786","finished","-","","","2024-10-13T01:39:53.000Z","163","l7wb2o2e","","","","","","","","","","49"
"lucky-sweep-44","sigmoid","0.1","1","[32]","32","50","bgd","0.4649122807017544","1.150996060036985","0.4256017505470459","0.4649122807017544","1.195213541337227","1.150996060036985","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:39:16.000Z","34","l7wb2o2e","","","","","","","","","","49"
"divine-sweep-43","sigmoid","0.1","1","[32]","32","50","sgd","0.5789473684210527","0.9700314901842596","0.6028446389496718","0.5789473684210527","0.9469650058327972","0.9700314901842596","0.6028446389496718","0.5789473684210527","0.5730044760192494","0.5753628190784514","0.5598053505288144","0.5472954053710067","finished","-","","","2024-10-13T01:37:41.000Z","93","l7wb2o2e","","","","","","","","","","49"
"crimson-sweep-42","sigmoid","0.1","1","[32]","16","50","bgd","0.4649122807017544","1.1510891439403357","0.4256017505470459","0.4649122807017544","1.1953160860801242","1.1510891439403357","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:37:04.000Z","34","l7wb2o2e","","","","","","","","","","49"
"bright-sweep-41","sigmoid","0.1","1","[32]","16","50","sgd","0.5087719298245614","1.0337507055535415","0.5426695842450766","0.5087719298245614","1.0797686821501684","1.0337507055535415","0.5426695842450766","0.5087719298245614","0.4916724568844825","0.43374766121014274","0.47902238175632345","0.4413177551722443","finished","-","","","2024-10-13T01:35:35.000Z","85","l7wb2o2e","","","","","","","","","","49"
"astral-sweep-40","sigmoid","0.01","2","[64,32]","32","50","bgd","0.4649122807017544","1.349165711729614","0.4256017505470459","0.4649122807017544","1.3641683853536053","1.349165711729614","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:34:31.000Z","58","l7wb2o2e","","","","","","","","","","49"
"ancient-sweep-39","sigmoid","0.01","2","[64,32]","32","50","sgd","0.35964912280701755","1.1581094546321244","0.3982494529540481","0.35964912280701755","1.1965674046663062","1.1581094546321244","0.3982494529540481","0.35964912280701755","0.1586026267781986","0.12934749153585717","0.2268588433102872","0.19026598754951896","finished","-","","","2024-10-13T01:33:18.000Z","67","l7wb2o2e","","","","","","","","","","49"
"major-sweep-38","sigmoid","0.01","2","[64,32]","16","50","bgd","0.4649122807017544","1.341744516965777","0.4256017505470459","0.4649122807017544","1.3585097696018775","1.341744516965777","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:32:14.000Z","60","l7wb2o2e","","","","","","","","","","49"
"silvery-sweep-37","sigmoid","0.01","2","[64,32]","16","50","sgd","0.4649122807017544","1.1376666678295626","0.4256017505470459","0.4649122807017544","1.1926964664360016","1.1376666678295626","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:30:19.000Z","110","l7wb2o2e","","","","","","","","","","49"
"cosmic-sweep-36","sigmoid","0.01","1","[32]","32","50","bgd","0.4649122807017544","1.352575113244515","0.4256017505470459","0.4649122807017544","1.3675723043729626","1.352575113244515","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:29:36.000Z","37","l7wb2o2e","","","","","","","","","","49"
"smart-sweep-35","sigmoid","0.01","1","[32]","32","50","sgd","0.5","1.1318979797643935","0.4912472647702407","0.5","1.1807177877259991","1.1318979797643935","0.4912472647702407","0.5","0.3820439598158738","0.37839782261979055","0.3990230549954469","0.4055560356830774","finished","-","","","2024-10-13T01:28:38.000Z","57","l7wb2o2e","","","","","","","","","","49"
"snowy-sweep-34","sigmoid","0.01","1","[32]","16","50","bgd","0.4649122807017544","1.3482034013262127","0.4256017505470459","0.4649122807017544","1.3636427648814025","1.3482034013262127","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:27:56.000Z","36","l7wb2o2e","","","","","","","","","","49"
"fanciful-sweep-33","sigmoid","0.01","1","[32]","16","50","sgd","0.4649122807017544","1.1333205784470024","0.4256017505470459","0.4649122807017544","1.1972426614765723","1.1333205784470024","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:26:42.000Z","69","l7wb2o2e","","","","","","","","","","49"
"lemon-sweep-32","tanh","0.1","2","[64,32]","32","50","bgd","0.4649122807017544","1.3280666147616915","0.4256017505470459","0.4649122807017544","1.345056314326087","1.3280666147616915","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:25:34.000Z","64","l7wb2o2e","","","","","","","","","","49"
"celestial-sweep-31","tanh","0.1","2","[64,32]","32","50","sgd","0.6578947368421053","0.9411834105465572","0.6094091903719913","0.6578947368421053","0.9990668395169122","0.9411834105465572","0.6094091903719913","0.6578947368421053","0.5730555195169131","0.6375268255148389","0.5888713227268507","0.6454345322766376","finished","-","","","2024-10-13T01:23:33.000Z","119","l7wb2o2e","","","","","","","","","","49"
"usual-sweep-30","tanh","0.1","2","[64,32]","16","50","bgd","0.4649122807017544","1.3270111839743306","0.4256017505470459","0.4649122807017544","1.3440397263415","1.3270111839743306","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:22:40.000Z","50","l7wb2o2e","","","","","","","","","","49"
"fancy-sweep-29","tanh","0.1","2","[64,32]","16","50","sgd","0.6140350877192983","1.0025178979731313","0.5886214442013129","0.6140350877192983","1.0163133673628222","1.0025178979731313","0.5886214442013129","0.6140350877192983","0.48990930126184745","0.5164851784633999","0.5339761725832557","0.5594579929902773","finished","-","","","2024-10-13T01:21:05.000Z","90","l7wb2o2e","","","","","","","","","","49"
"clean-sweep-28","tanh","0.1","1","[32]","32","50","bgd","0.4649122807017544","1.315252664926729","0.4256017505470459","0.4649122807017544","1.333321508062098","1.315252664926729","0.4256017505470459","0.4649122807017544","0.18113685006870991","0.21614342874730685","0.25411984798588005","0.29509402248135314","finished","-","","","2024-10-13T01:20:23.000Z","36","l7wb2o2e","","","","","","","","","","49"
